Country;1970;1971;1972;1973;1974;1975;1976;1977;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023
Japan;;;;;;;;;;;;;;;;;;;;;;;;;13238.52;13717.03;13998.55;14381.34;14518.84;14608.83;15227.70;15163.66;15684.88;16231.18;16873.09;17934.98;18913.44;19583.82;20129.87;20363.12;20942.05;21692.22;22421.72;23771.21;23289.54;23656.58;22647.13;22700.10;23316.49;23355.89;25085.49;25040.02;26975.16;
Korea;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;10618.43;11080.93;11494.75;12090.47;12977.00;13657.84;14365.24;15325.52;16189.56;16204.72;17011.13;17792.84;18403.46;17919.17;18357.01;20187.80;20499.29;20541.19;21621.86;22415.75;23469.86;24702.66;26887.26;27277.45
Latvia;;;;;;;;;;;;;;;;;;;;;;;;;;2579.61;2861.00;3515.42;3568.03;3715.44;4316.57;4777.72;5231.53;5723.53;6522.22;7452.41;8520.22;9538.63;10633.21;9492.30;9838.89;9791.54;10548.95;11286.44;11818.45;12575.65;13563.17;14579.39;15673.12;16918.98;17445.71;18708.92;20087.92;21594.60
Lithuania;;;;;;;;;;;;;;;;;;;;;;;;;;3380.84;3601.47;4071.71;4558.00;4909.08;5265.17;5646.49;6231.59;7087.76;8397.54;8906.59;9931.76;10417.06;11906.79;11297.75;12113.86;12975.40;13680.07;14847.28;15298.51;15925.71;17620.51;18441.55;19685.21;22394.69;24096.84;26124.18;27395.49;
Luxembourg;;;;;;;;;;;;;;;;;;;;;;;;;;19479.87;19613.32;20886.99;21538.35;23100.37;25363.16;26253.70;28558.49;28975.18;28864.42;29012.40;30758.04;31173.83;32780.57;32821.97;33120.25;34279.28;34996.23;36556.91;36605.23;36394.44;36923.50;38497.02;40658.93;41946.88;43087.14;44334.32;48260.27;
Mexico;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7883.22;8118.79;8647.27;9559.51;9731.85;10262.78;10147.43;10407.16;11423.92;11479.63;11946.06;12469.84;13160.46;13851.87;13593.28;13889.22;13917.60;13120.93;14714.84;16360.29;17592.86
Netherlands;;;;;;;;;;;;;;;;;;;;;;;;;;12740.61;13370.08;14112.50;14807.09;15442.38;16630.76;17796.10;18353.39;17872.07;18533.83;18844.82;19967.55;21059.27;21843.77;21659.33;21592.18;22002.58;21869.36;22150.03;22501.94;22739.99;23890.11;24714.87;26438.68;27990.67;29593.27;31893.54;35203.58;36964.57
New Zealand;;;;;;;;;;;;;;;;;;;;;;;;;;;;;11109.43;12305.90;11781.70;12421.77;12123.75;12867.93;13705.74;13935.51;14940.66;16203.01;16286.72;16674.36;17311.82;18351.97;18681.97;18851.98;18984.72;19363.97;20861.89;21781.61;22168.77;24179.19;26033.78;26364.26;;
Norway;;;;;;;;;4398.76;4768.24;5440.06;6048.35;6365.85;6704.69;7171.10;7542.87;7835.28;8020.91;8363.04;8831.39;9315.66;9845.35;10422.51;11009.13;11449.03;11960.50;12768.15;13272.10;14049.09;14482.42;15259.50;15277.53;16804.53;17626.70;18594.75;20248.86;19552.46;21404.34;22304.28;23183.72;23818.79;24783.59;25764.80;27110.72;27868.33;27569.50;27571.04;29315.11;30349.94;32019.82;32514.72;35470.27;37292.64;
Poland;;;;;;;;;;;;;;;;;;;;;;;;;;5028.09;5436.69;5895.34;6340.50;6580.06;6934.44;7384.18;7658.75;7821.96;8021.96;7968.57;8592.97;9503.44;10409.20;11062.08;12440.42;13254.75;13930.75;14357.10;15065.02;15482.89;16622.28;17147.43;18100.92;19785.91;21616.35;22029.17;24351.91;
Portugal;;;;;;;;;;;;;;;;;;;;;;;;;;10026.91;10377.26;10793.80;11300.72;12154.52;12873.49;13314.28;13578.28;14028.05;14461.18;15274.69;15897.85;16158.15;16854.62;17142.56;17556.10;17357.90;17052.37;17625.89;17603.42;18116.51;19277.50;19642.49;21024.00;22843.45;22227.52;24119.70;27032.22;28635.54
Slovak Republic;;;;;;;;;;;;;;;;;;;;;;;;;;4900.49;5553.75;5957.03;6200.77;6147.70;6437.74;7120.43;7573.40;7487.01;8246.47;8844.66;9515.72;10644.39;12164.41;12579.79;13555.03;13821.37;14057.03;14592.51;15037.42;15660.40;15124.99;15073.39;16300.55;17391.09;18752.46;20065.16;22471.18;23347.95
Slovenia;;;;;;;;;;;;;;;;;;;;;;;;;;8326.68;8787.23;9484.55;9812.79;10306.80;11046.08;11665.78;12349.49;12571.87;13157.79;13888.53;14475.92;15248.36;16425.08;15762.37;16131.90;16836.66;16505.96;16795.01;16942.32;17145.20;18276.04;19303.44;20669.63;22457.73;23422.47;25573.61;28477.63;
